Year,Value,Units,Series,GeoCode
1996,119.576,Hectre per day,Calculated annual values,
1997,124.252,Hectre per day,Calculated annual values,
1998,130.622,Hectre per day,Calculated annual values,
1999,130.655,Hectre per day,Calculated annual values,
2000,131.098,Hectre per day,Calculated annual values,
2001,121.096,Hectre per day,Calculated annual values,
2002,109.315,Hectre per day,Calculated annual values,
2003,98.904,Hectre per day,Calculated annual values,
2004,131.148,Hectre per day,Calculated annual values,
2005,117.534,Hectre per day,Calculated annual values,
2006,105.753,Hectre per day,Calculated annual values,
2007,96.712,Hectre per day,Calculated annual values,
2008,95.082,Hectre per day,Calculated annual values,
2009,78.082,Hectre per day,Calculated annual values,
2010,76.712,Hectre per day,Calculated annual values,
2011,73.624,Hectre per day,Calculated annual values,
2012,69.349,Hectre per day,Calculated annual values,
2013,70.591,Hectre per day,Calculated annual values,
2014,63.273,Hectre per day,Calculated annual values,
2015,61.012,Hectre per day,Calculated annual values,
2016,51.278,Hectre per day,Calculated annual values,
2017,55.205,Hectre per day,Calculated annual values,
2018,57.997,Hectre per day,Calculated annual values,
2019,45.0,Hectre per day,Calculated annual values,
2020,58.0,Hectre per day,Calculated annual values,
1997,20.642,Hectre per day,Calculated annual values,
1998,23.302,Hectre per day,Calculated annual values,
1999,23.308,Hectre per day,Calculated annual values,
2000,23.642,Hectre per day,Calculated annual values,
2001,23.0,Hectre per day,Calculated annual values,
2002,22.466,Hectre per day,Calculated annual values,
2003,20.274,Hectre per day,Calculated annual values,
2004,24.59,Hectre per day,Calculated annual values,
2005,25.205,Hectre per day,Calculated annual values,
2006,24.11,Hectre per day,Calculated annual values,
2007,24.384,Hectre per day,Calculated annual values,
2008,21.492,Hectre per day,Calculated annual values,
2009,18.082,Hectre per day,Calculated annual values,
2010,20.548,Hectre per day,Calculated annual values,
2011,16.95,Hectre per day,Calculated annual values,
2012,10.858,Hectre per day,Calculated annual values,
2013,18.52,Hectre per day,Calculated annual values,
2014,23.437,Hectre per day,Calculated annual values,
2015,9.768,Hectre per day,Calculated annual values,
2016,,Hectre per day,Calculated annual values,
2017,8.482,Hectre per day,Calculated annual values,
2018,15.953,Hectre per day,Calculated annual values,
2019,2.0,Hectre per day,Calculated annual values,
2020,6.0,Hectre per day,Calculated annual values,
1996,87.201,Hectre per day,Calculated annual values,
1997,83.405,Hectre per day,Calculated annual values,
1998,86.759,Hectre per day,Calculated annual values,
1999,86.781,Hectre per day,Calculated annual values,
2000,86.926,Hectre per day,Calculated annual values,
2001,69.863,Hectre per day,Calculated annual values,
2002,65.753,Hectre per day,Calculated annual values,
2003,44.932,Hectre per day,Calculated annual values,
2004,60.109,Hectre per day,Calculated annual values,
2005,34.616,Hectre per day,Calculated annual values,
2006,29.589,Hectre per day,Calculated annual values,
2007,39.726,Hectre per day,Calculated annual values,
2008,34.973,Hectre per day,Calculated annual values,
