Year,Value,Units,Series,GeoCode
1996,119.576,hectre per day,calculated annual values,
1997,124.252,hectre per day,calculated annual values,
1998,130.622,hectre per day,calculated annual values,
1999,130.655,hectre per day,calculated annual values,
2000,131.098,hectre per day,calculated annual values,
2001,121.096,hectre per day,calculated annual values,
2002,109.315,hectre per day,calculated annual values,
2003,98.904,hectre per day,calculated annual values,
2004,131.148,hectre per day,calculated annual values,
2005,117.534,hectre per day,calculated annual values,
2006,105.753,hectre per day,calculated annual values,
2007,96.712,hectre per day,calculated annual values,
2008,95.082,hectre per day,calculated annual values,
2009,78.082,hectre per day,calculated annual values,
2010,76.712,hectre per day,calculated annual values,
2011,73.624,hectre per day,calculated annual values,
2012,69.349,hectre per day,calculated annual values,
2013,70.591,hectre per day,calculated annual values,
2014,63.273,hectre per day,calculated annual values,
2015,61.012,hectre per day,calculated annual values,
2016,51.278,hectre per day,calculated annual values,
2017,55.205,hectre per day,calculated annual values,
2018,57.997,hectre per day,calculated annual values,
2019,45.0,hectre per day,calculated annual values,
2020,58.0,hectre per day,calculated annual values,
1997,20.642,hectre per day,calculated annual values,
1998,23.302,hectre per day,calculated annual values,
1999,23.308,hectre per day,calculated annual values,
2000,23.642,hectre per day,calculated annual values,
2001,23.0,hectre per day,calculated annual values,
2002,22.466,hectre per day,calculated annual values,
2003,20.274,hectre per day,calculated annual values,
2004,24.59,hectre per day,calculated annual values,
2005,25.205,hectre per day,calculated annual values,
2006,24.11,hectre per day,calculated annual values,
2007,24.384,hectre per day,calculated annual values,
2008,21.492,hectre per day,calculated annual values,
2009,18.082,hectre per day,calculated annual values,
2010,20.548,hectre per day,calculated annual values,
2011,16.95,hectre per day,calculated annual values,
2012,10.858,hectre per day,calculated annual values,
2013,18.52,hectre per day,calculated annual values,
2014,23.437,hectre per day,calculated annual values,
2015,9.768,hectre per day,calculated annual values,
2016,,hectre per day,calculated annual values,
2017,8.482,hectre per day,calculated annual values,
2018,15.953,hectre per day,calculated annual values,
2019,2.0,hectre per day,calculated annual values,
2020,6.0,hectre per day,calculated annual values,
1996,87.201,hectre per day,calculated annual values,
1997,83.405,hectre per day,calculated annual values,
1998,86.759,hectre per day,calculated annual values,
1999,86.781,hectre per day,calculated annual values,
2000,86.926,hectre per day,calculated annual values,
2001,69.863,hectre per day,calculated annual values,
2002,65.753,hectre per day,calculated annual values,
2003,44.932,hectre per day,calculated annual values,
2004,60.109,hectre per day,calculated annual values,
2005,34.616,hectre per day,calculated annual values,
2006,29.589,hectre per day,calculated annual values,
2007,39.726,hectre per day,calculated annual values,
2008,34.973,hectre per day,calculated annual values,
2009,27.945,hectre per day,calculated annual values,
2010,33.151,hectre per day,calculated annual values,
2011,29.61,hectre per day,calculated annual values,
2012,40.004,hectre per day,calculated annual values,
2013,29.005,hectre per day,calculated annual values,
2014,21.91,hectre per day,calculated annual values,
